n380796	NONHSAT030098.2
n380806	NONHSAT028415.2
n380900	NONHSAT035489.2
n380909	NA
n380977	NONHSAT030101.2
n381011	NONHSAT027801.2
n381022	NA
n381026	NONHSAT000108.2
n381037	NA
n381041	NONHSAT000416.2
n381057	NONHSAT001050.2
n381071	NONHSAT001263.2
n381074	NONHSAT001403.2
n381076	NA
n381078	NONHSAT001461.2
n381081	NONHSAT001523.2
n381102	NONHSAT002083.2
n381159	NA
n381184	NONHSAT005198.2
n381187	NONHSAT005231.2
n381189	NA
n381200	NA
n381216	NONHSAT005727.2
n381222	NA
n381231	NONHSAT005809.2
n381268	NA
n381270	NA
n381272	NONHSAT007235.2
n381280	NONHSAT007429.2
n381323	NA
n381344	NONHSAT009594.2
n381351	NONHSAT009703.2
n381353	NONHSAT009763.2
n381364	NONHSAT010086.2
n381375	NONHSAT010583.2
n381381	NONHSAT010899.2
n381409	NONHSAT011652.2
n381414	NONHSAT011868.2
n381417	NA
n381419	NONHSAT012532.2
n381430	NONHSAT012887.2
n381431	NONHSAT012888.2
n381443	NONHSAT013096.2
n381444	NA
n381464	NONHSAT013600.2
n381468	NONHSAT014054.2
n381471	NONHSAT014162.2
n381509	NA
n381521	NONHSAT015415.2
n381526	NONHSAT015462.2
n381557	NONHSAT016441.2
n381559	NA
n381568	NA
n381580	NONHSAT017193.2
n381585	NONHSAT017355.2
n381586	NONHSAT017356.2
n381616	NA
n381623	NONHSAT018688.2
n381689	NONHSAT021344.2
n381696	NONHSAT021424.2
n381720	NONHSAT021887.2
n381727	NONHSAT022389.2
n381754	NONHSAT023656.2
n381773	NONHSAT024258.2
n381776	NONHSAT024372.2
n381782	NONHSAT024536.2
n381786	NA
n381789	NONHSAT024787.2
n381793	NONHSAT024858.2
n381805	NONHSAT025216.2
n381833	NA
n381838	NA
n381839	NONHSAT026833.2
n381846	NONHSAT027013.2
n381878	NONHSAT028938.2
n381885	NONHSAT029248.2
n381899	NONHSAT029740.2
n381912	NONHSAT030018.2
n381941	NONHSAT031122.2
n381942	NA
n381945	NA
n381958	NONHSAT031917.2
n381970	NA
n381979	NONHSAT032246.2
n381981	NONHSAT032361.2
n381993	NONHSAT032526.2
n382000	NA
n382009	NA
n382014	NONHSAT033305.2
n382015	NONHSAT033364.2
n382037	NONHSAT033800.2
n382059	NA
n382060	NONHSAT033967.2
n382061	NONHSAT033969.2
n382064	NA
n382077	NONHSAT034312.2
n382083	NONHSAT034426.2
n382094	NONHSAT034878.2
n382105	NONHSAT035212.2
n382131	NA
n382143	NONHSAT035959.2
n382148	NONHSAT036206.2
n382149	NA
n382181	NONHSAT037814.2
n382184	NONHSAT037890.2
n382207	NONHSAT039199.2
n382220	NONHSAT039455.2
n382224	NONHSAT039524.2
n382231	NONHSAT039675.2
n382233	NONHSAT039782.2
n382276	NONHSAT040062.2
n382286	NONHSAT040375.2
n382312	NONHSAT040781.2
n382317	NA
n382328	NONHSAT040969.2
n382330	NONHSAT040974.2
n382350	NONHSAT041027.2
n382428	NONHSAT041273.2
n382440	NA
n382464	NONHSAT041381.2
n382474	NONHSAT041487.2
n382487	NONHSAT041505.2
n382490	NONHSAT041521.2
n382495	NA
n382497	NONHSAT041665.2
n382502	NA
n382507	NONHSAT041962.2
n382508	NA
n382511	NONHSAT042032.2
n382512	NA
n382553	NONHSAT044134.2
n382632	NONHSAT047130.2
n382635	NONHSAT047228.2
n382643	NONHSAT047364.2
n382664	NA
n382670	NA
n382687	NONHSAT047869.2
n382691	NONHSAT047921.2
n382698	NONHSAT047967.2
n382699	NONHSAT047972.2
n382702	NONHSAT048052.2
n382908	NONHSAT147803.2
n382918	NA
n382927	NONHSAT140990.2
n382930	NONHSAT141041.2
n382933	NONHSAT141063.2
n382953	NA
n382960	NONHSAT141661.2
n382961	NA
n382962	NA
n382975	NA
n382982	NA
n382989	NONHSAT142400.2
n382996	NA
n383003	NA
n383019	NONHSAT144081.2
n383025	NONHSAT144315.2
n383026	NA
n383032	NA
n383033	NA
n383038	NONHSAT144655.2
n383040	NONHSAT144766.2
n383055	NONHSAT145448.2
n383057	NONHSAT145510.2
n383076	NONHSAT146362.2
n383077	NA
n383080	NA
n383172	NA
n383175	NONHSAT053396.2
n383179	NONHSAT053816.2
n383180	NONHSAT053813.2
n383184	NONHSAT053931.2
n383186	NONHSAT054170.2
n383190	NONHSAT054306.2
n383191	NONHSAT054307.2
n383209	NA
n383211	NONHSAT055267.2
n383218	NONHSAT055460.2
n383230	NONHSAT056017.2
n383231	NONHSAT056040.2
n383233	NONHSAT056047.2
n383234	NONHSAT056048.2
n383236	NONHSAT056107.2
n383265	NONHSAT057068.2
n383314	NONHSAT058766.2
n383327	NA
n383428	NA
n383460	NONHSAT064307.2
n383496	NONHSAT065985.2
n383509	NONHSAT066144.2
n383521	NONHSAT066808.2
n383550	NONHSAT067569.2
n383551	NONHSAT067602.2
n383556	NONHSAT067968.2
n383560	NONHSAT068156.2
n383565	NA
n383567	NONHSAT068494.2
n383603	NA
n383605	NONHSAT069816.2
n383634	NONHSAT070699.2
n383639	NONHSAT070902.2
n383693	NONHSAT072980.2
n383714	NONHSAT073622.2
n383718	NONHSAT073752.2
n383723	NONHSAT073817.2
n383730	NONHSAT074169.2
n383747	NA
n383749	NA
n383773	NA
n383794	NONHSAT076543.2
n383795	NONHSAT076545.2
n383802	NONHSAT076682.2
n383805	NONHSAT076793.2
n383828	NONHSAT077535.2
n383862	NONHSAT078782.2
n383884	NONHSAT079210.2
n383906	NONHSAT079686.2
n383932	NONHSAT080219.2
n383958	NONHSAT081035.2
n383986	NONHSAT081395.2
n383994	NONHSAT081595.2
n384011	NONHSAT081892.2
n384026	NONHSAT082353.2
n384030	NONHSAT082458.2
n384073	NONHSAT083172.2
n384082	NA
n384083	NA
n384091	NA
n384112	NA
n384121	NONHSAT084422.2
n384132	NONHSAT084602.2
n384140	NONHSAT084887.2
n384175	NONHSAT086890.2
n384190	NONHSAT087316.2
n384198	NONHSAT087546.2
n384200	NA
n384202	NONHSAT087600.2
n384209	NONHSAT087761.2
n384210	NONHSAT087772.2
n384212	NONHSAT087778.2
n384213	NONHSAT087871.2
n384215	NA
n384227	NA
n384228	NONHSAT088370.2
n384233	NONHSAT088639.2
n384234	NONHSAT088657.2
n384270	NONHSAT090407.2
n384285	NA
n384290	NONHSAT091038.2
n384320	NONHSAT092040.2
n384321	NONHSAT092042.2
n384325	NONHSAT092080.2
n384327	NA
n384332	NONHSAT092298.2
n384348	NA
n384353	NA
n384393	NONHSAT094312.2
n384395	NA
n384398	NONHSAT094494.2
n384422	NA
n384430	NONHSAT095714.2
n384480	NONHSAT097386.2
n384484	NONHSAT097499.2
n384496	NONHSAT097985.2
n384498	NONHSAT098044.2
n384533	NA
n384536	NA
n384558	NONHSAT099505.2
n384573	NONHSAT099872.2
n384580	NONHSAT100049.2
n384605	NA
n384624	NA
n384625	NONHSAT101022.2
n384643	NONHSAT101498.2
n384655	NA
n384656	NONHSAT101921.2
n384684	NONHSAT102088.2
n384686	NA
n384690	NONHSAT102442.2
n384700	NONHSAT102762.2
n384703	NONHSAT102788.2
n384720	NONHSAT103133.2
n384738	NONHSAT103885.2
n384742	NA
n384750	NONHSAT104493.2
n384754	NONHSAT104512.2
n384755	NONHSAT104556.2
n384757	NONHSAT104637.2
n384758	NA
n384767	NONHSAT104904.2
n384770	NONHSAT104991.2
n384841	NONHSAT108308.2
n384858	NONHSAT108615.2
n384927	NONHSAT112124.2
n384936	NONHSAT112849.2
n384946	NONHSAT113130.2
n384964	NONHSAT113541.2
n384975	NA
n384996	NONHSAT114444.2
n385002	NA
n385036	NONHSAT115529.2
n385039	NA
n385044	NA
n385059	NA
n385064	NA
n385069	NONHSAT118751.2
n385102	NONHSAT119809.2
n385106	NA
n385119	NA
n385123	NONHSAT120007.2
n385130	NONHSAT120080.2
n385139	NA
n385140	NONHSAT120262.2
n385145	NONHSAT120415.2
n385150	NA
n385185	NONHSAT121005.2
n385187	NONHSAT121038.2
n385188	NA
n385192	NA
n385195	NA
n385202	NA
n385203	NA
n385204	NA
n385210	NA
n385218	NONHSAT121498.2
n385219	NONHSAT121511.2
n385223	NONHSAT121615.2
n385224	NA
n385225	NONHSAT121633.2
n385229	NONHSAT121765.2
n385240	NONHSAT122160.2
n385245	NA
n385255	NONHSAT122606.2
n385256	NONHSAT122625.2
n385261	NONHSAT122865.2
n385272	NONHSAT123162.2
n385273	NA
n385274	NA
n385287	NONHSAT123401.2
n385291	NONHSAT123692.2
n385302	NONHSAT123879.2
n385310	NA
n385315	NONHSAT124385.2
n385318	NONHSAT124481.2
n385370	NONHSAT125622.2
n385405	NONHSAT126950.2
n385408	NONHSAT126961.2
n385425	NA
n385430	NONHSAT128025.2
n385434	NONHSAT128404.2
n385467	NONHSAT129361.2
n385468	NA
n385480	NA
n385481	NONHSAT130281.2
n385488	NA
n385511	NA
n385512	NONHSAT131072.2
n385516	NONHSAT131127.2
n385519	NONHSAT131173.2
n385527	NONHSAT131300.2
n385531	NA
n385569	NONHSAT131638.2
n385631	NA
n385632	NONHSAT133346.2
n385638	NA
n385667	NONHSAT133800.2
n385679	NONHSAT134340.2
n385685	NONHSAT134595.2
n385688	NONHSAT134698.2
n385707	NONHSAT135135.2
n385709	NONHSAT135165.2
n385725	NA
n385727	NA
n385729	NA
n385730	NONHSAT135851.2
n385758	NONHSAT136834.2
n385760	NA
n385765	NA
n385775	NONHSAT137355.2
n385780	NA
n385783	NONHSAT137539.2
n385786	NONHSAT137606.2
n385787	NONHSAT137627.2
n385792	NONHSAT137902.2
n385793	NA
n385801	NA
n385802	NONHSAT138007.2
n385806	NONHSAT138089.2
n385812	NONHSAT138255.2
n385813	NA
n385822	NONHSAT138539.2
n385829	NA
n385835	NONHSAT138761.2
n385842	NONHSAT138976.2
n385849	NONHSAT139215.2
n385902	NONHSAT139740.2
n385914	NA
n385947	NONHSAT005662.2
n385951	NONHSAT005942.2
n385991	NA
n386025	NONHSAT024449.2
n386029	NONHSAT025371.2
n386034	NA
n386063	NA
n386067	NA
n386097	NONHSAT041248.2
n386098	NA
n386100	NA
n386108	NA
n386110	NA
n386118	NA
n386148	NONHSAT051856.2
n386152	NONHSAT147820.2
n386154	NONHSAT140736.2
n386164	NONHSAT144402.2
n386176	NA
n386178	NONHSAT146839.2
n386179	NA
n386193	NONHSAT057067.2
n386194	NA
n386209	NA
n386215	NA
n386230	NA
n386231	NA
n386260	NONHSAT074193.2
n386315	NA
n386319	NONHSAT083966.2
n386328	NONHSAT087925.2
n386332	NONHSAT089678.2
n386343	NONHSAT091524.2
n386353	NA
n386362	NONHSAT097093.2
n386372	NONHSAT100055.2
n386391	NONHSAT102002.2
n386395	NA
n386411	NONHSAT108917.2
n386435	NA
n386438	NONHSAT121201.2
n386448	NA
n386451	NONHSAT122150.2
n386454	NONHSAT122458.2
n386466	NA
n386477	NONHSAT127587.2
n386480	NONHSAT128188.2
n386492	NA
n386501	NA
n386512	NONHSAT132848.2
n386524	NONHSAT133997.2
n386532	NONHSAT135751.2
n386538	NA
n386539	NONHSAT137589.2
n386543	NA
n386571	NONHSAT002955.2
n386577	NA
n386585	NONHSAT006185.2
n386588	NA
n386592	NA
n386605	NONHSAT009463.2
n386623	NONHSAT012864.2
n386627	NA
n386628	NA
n386641	NA
n386649	NA
n386655	NA
n386682	NA
n386687	NONHSAT023031.2
n386691	NA
n386735	NONHSAT034665.2
n386737	NONHSAT035381.2
n386770	NA
n386815	NONHSAT041510.2
n386818	NONHSAT042446.2
n386856	NONHSAT046901.2
n386901	NONHSAT050883.2
n386957	NA
n386976	NA
n386977	NONHSAT145765.2
n387010	NONHSAT053844.2
n387016	NA
n387017	NONHSAT054133.2
n387024	NA
n387025	NONHSAT054275.2
n387026	NONHSAT054304.2
n387046	NONHSAT057004.2
n387048	NA
n387059	NONHSAT060248.2
n387060	NONHSAT060501.2
n387063	NONHSAT060973.2
n387106	NONHSAT068277.2
n387112	NA
n387116	NONHSAT072081.2
n387128	NA
n387140	NONHSAT073816.2
n387142	NONHSAT073821.2
n387178	NA
n387192	NONHSAT079187.2
n387210	NA
n387236	NA
n387265	NA
n387266	NONHSAT087418.2
n387280	NA
n387290	NONHSAT093164.2
n387292	NA
n387306	NONHSAT094906.2
n387313	NONHSAT096086.2
n387316	NA
n387393	NONHSAT108289.2
n387397	NA
n387402	NONHSAT108992.2
n387437	NA
n387439	NA
n387476	NA
n387531	NONHSAT106528.2
n387602	NONHSAT106735.2
n387614	NONHSAT119434.2
n387634	NONHSAT121387.2
n387641	NA
n387674	NA
n387706	NA
n387712	NA
n387718	NA
n387719	NONHSAT135582.2
n387722	NONHSAT135822.2
n387733	NA
n387748	NA
n405217	NA
n405255	NA
n405299	NA
n405311	NA
n405399	NA
n405416	NA
n405417	NA
n405438	NA
n405439	NA
n405440	NA
n405453	NA
n405455	NA
n405456	NA
n405460	NA
n405468	NA
n405477	NA
n405484	NA
n405487	NA
n405504	NONHSAT094546.2
n405508	NA
n405510	NA
n405523	NA
n405556	NONHSAT033777.2
n405558	NA
n405566	NONHSAT108367.2
n405569	NA
n405576	NA
n405607	NONHSAT113914.2
n405614	NA
n405620	NA
n405621	NA
n405626	NA
n405639	NA
n405658	NA
n405660	NA
n405665	NA
n405671	NA
n405691	NA
n405702	NA
n405705	NONHSAT054126.2
n405755	NONHSAT092148.2
n405795	NA
n405862	NA
n405884	NA
n405893	NA
n405912	NA
n405951	NA
n405968	NA
n405979	NA
n405981	NA
n405982	NA
n405985	NA
n405990	NONHSAT105522.2
n405993	NA
n406117	NA
n406126	NA
n406127	NA
n406134	NA
n406138	NONHSAT122540.2
n406144	NONHSAT124573.2
n406145	NA
n406154	NA
n406187	NA
n406191	NA
n406192	NONHSAT121382.2
n406194	NA
n406195	NONHSAT047991.2
n406198	NA
n406201	NA
n406202	NA
n406225	NONHSAT079300.2
n406246	NA
n406247	NA
n406266	NA
n406274	NONHSAT002564.2
n406277	NA
n406287	NA
n406296	NA
n406299	NONHSAT120899.2
n406300	NONHSAT115429.2
n406301	NONHSAT005619.2
n406328	NA
n406336	NA
n406346	NONHSAT052790.2
n406370	NONHSAT068374.2
n406404	NA
n406409	NA
n406416	NA
n406422	NONHSAT118886.2
n406428	NONHSAT093126.2
n406442	NONHSAT042264.2
n406444	NA
n406449	NA
n406474	NA
n406475	NONHSAT140711.2
n406478	NONHSAT133392.2
n406480	NA
n406488	NONHSAT035954.2
n406512	NA
n406515	NA
n406543	NONHSAT106547.2
n406566	NA
n406569	NA
n406598	NA
n406604	NONHSAT005430.2
n406605	NONHSAT005431.2
n406782	NONHSAT025106.2
n406795	NA
n406796	NA
n406816	NONHSAT092093.2
n406833	NA
n406847	NONHSAT000157.2
n406866	NA
n406872	NA
n406883	NONHSAT123220.2
n406889	NA
n406899	NA
n406900	NA
n406914	NONHSAT090901.2
n406926	NONHSAT026329.2
n406931	NONHSAT134905.2
n406939	NONHSAT054070.2
n406952	NONHSAT083925.2
n406964	NONHSAT053762.2
n406992	NONHSAT042406.2
n407027	NA
n407046	NONHSAT106933.2
n407050	NONHSAT135576.2
n407062	NA
n407071	NONHSAT058916.2
n407073	NONHSAT002658.2
n407098	NONHSAT031496.2
n407108	NA
n407114	NONHSAT091509.2
n407125	NONHSAT131104.2
n407138	NA
n407159	NA
n407161	NA
n407163	NA
n407173	NA
n407180	NA
n407195	NA
n407210	NA
n407211	NONHSAT134613.2
n407249	NA
n407257	NA
n407283	NA
n407311	NA
n407312	NONHSAT039445.2
n407337	NA
n407346	NA
n407372	NA
n407383	NONHSAT029458.2
n407400	NONHSAT056426.2
n407410	NA
n407412	NA
n407413	NA
n407433	NA
n407434	NA
n407441	NONHSAT055307.2
n407442	NONHSAT008249.2
n407444	NA
n407447	NA
n407464	NONHSAT105448.2
n407465	NA
n407466	NA
n407473	NA
n407500	NONHSAT135509.2
n407502	NONHSAT075710.2
n407513	NONHSAT108543.2
n407520	NA
n407534	NONHSAT004284.2
n407550	NONHSAT113544.2
n407553	NA
n407565	NONHSAT006742.2
n407566	NA
n407568	NA
n407569	NONHSAT100712.2
n407573	NA
n407574	NONHSAT087271.2
n407588	NONHSAT083616.2
n407602	NA
n407659	NA
n407661	NA
n407669	NA
n407685	NA
n407687	NA
n407707	NONHSAT145937.2
n407721	NA
n407729	NA
n407749	NA
n407761	NONHSAT016752.2
n407766	NONHSAT081008.2
n407771	NONHSAT131185.2
n407775	NA
n407851	NONHSAT134684.2
n407852	NA
n407854	NA
n407887	NONHSAT079548.2
n407918	NA
n407922	NONHSAT028145.2
n407936	NA
n407937	NA
n407963	NA
n407992	NA
n408014	NONHSAT144678.2
n408016	NA
n408020	NA
n408024	NA
n408032	NA
n408051	NA
n408055	NA
n408071	NA
n408075	NA
n408108	NA
n408116	NA
n408119	NA
n408123	NONHSAT121535.2
n408131	NA
n408146	NA
n408176	NONHSAT069808.2
n408189	NA
n408191	NA
n408200	NONHSAT138800.2
n408211	NA
n408220	NA
n408221	NONHSAT070211.2
n408239	NA
n408241	NA
n408255	NA
n408277	NONHSAT101769.2
n408292	NONHSAT144857.2
n408302	NONHSAT144828.2
n408309	NA
n408324	NA
n408331	NA
n408335	NA
n408340	NONHSAT017400.2
n408342	NONHSAT121616.2
n408349	NONHSAT137527.2
n408353	NONHSAT037119.2
n408354	NONHSAT037120.2
n408890	NA
n408895	NA
n409083	NA
n409084	NA
n409115	NA
n409143	NA
n409149	NA
n409152	NA
n409156	NA
n409159	NA
n409170	NA
n409172	NA
n409179	NONHSAT094687.2
n409180	NONHSAT066662.2
n409183	NA
n409190	NA
n409235	NA
n409250	NONHSAT101970.2
n409256	NA
n409275	NA
n409282	NA
n409291	NA
n409305	NONHSAT074679.2
n409320	NA
n409334	NA
n409359	NA
n409368	NA
n409402	NA
n409406	NA
n409438	NA
n409442	NONHSAT002817.2
n409499	NONHSAT106932.2
n409519	NONHSAT148015.2
n409529	NA
n409540	NA
n409548	NA
n409559	NA
n409618	NA
n409625	NA
n409636	NA
n409638	NONHSAT119097.2
n409649	NA
n409672	NA
n409673	NA
n409674	NONHSAT097185.2
n409683	NA
n409684	NONHSAT101258.2
n409707	NONHSAT114467.2
n409709	NONHSAT114468.2
n409726	NONHSAT101276.2
n409756	NA
n410005	NA
n410019	NA
n410026	NONHSAT125142.2
n410038	NONHSAT028690.2
n410042	NONHSAT144573.2
n410063	NONHSAT119987.2
n410066	NONHSAT066004.2
n410068	NA
n410070	NA
n410072	NA
n410076	NA
n410080	NA
n410105	NONHSAT104073.2
n410108	NONHSAT017922.2
n410128	NA
n410131	NONHSAT124015.2
n410143	NONHSAT131038.2
n410149	NA
n410152	NA
n410153	NA
n410161	NA
n410167	NA
n410170	NA
n410188	NONHSAT132851.2
n410189	NA
n410191	NA
n410194	NA
n410199	NA
n410203	NA
n410249	NONHSAT107271.2
n410453	NONHSAT098048.2
n410456	NA
n410457	NONHSAT049670.2
n410462	NA
n410487	NA
n410488	NONHSAT098071.2
n410523	NONHSAT101154.2
n410547	NA
n410565	NA
n410630	NA
n410638	NONHSAT070107.2
n410671	NA
n410678	NA
n410722	NA
n410787	NA
n410799	NONHSAT041381.2
n410806	NA
n410885	NA
n410904	NONHSAT119664.2
n411020	NA
n411064	NONHSAT072052.2
n411118	NA
n411142	NONHSAT035663.2
n411511	NONHSAT122589.2
n411528	NONHSAT143422.2
n411550	NONHSAT079631.2
n411552	NONHSAT147816.2
n411556	NONHSAT066049.2
n411578	NONHSAT078101.2
n411597	NONHSAT047178.2
n411615	NONHSAT081938.2
n411622	NONHSAT107038.2
n411623	NONHSAT107044.2
n411666	NA
n411678	NA
n411679	NA
n411680	NA
n411681	NA
n411694	NA
n411719	NONHSAT107479.2
n411720	NA
n411727	NA
